	I		II		III		IV		V		VI		VII		VIII		IX		X		XI		XII
Aardbei - Gele alpenaardbei							Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z					
Aardbei - Rode alpenaardbei							Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z					
Akelei					Z	Z	Z	Z	Z	Z	Z	Z											
Amarant rood									Z	Z	Z	Z											
Arnica montana							Z	Z	Z	Z													
Artisjok - Green Globe						Z	Z	Z	Z	P					Z	Z	Z	Z	P	P			
Artisjok - Violette de Provence				Z	Z	Z			Z	Z/P	Z/P	Z/P	Z/P	P									
Augurk - Gurke vorgebirgstraube								Z	Z	P	P												
Augurk - Liefje							Z	Z	P	P													
Basilicum							Z	Z	Z	Z	Z	Z											
Bieslook - chinese											Z	Z	Z	Z	Z	Z							
Bieslook - fijne					Z	Z	Z	Z	Z	Z	Z	Z											
Bietjes - Rood				Z	Z	Z	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	P	P								
Bonen - Struikbonen Brigit									Z	Z	Z	Z	Z										
Bonen - Struikbonen Caruso									Z	Z	Z	Z	Z										
Bonenkruid						Z	Z	Z			P	P											
Bronzen venkel - Smokey - Foeniculum vulgare							Z	Z															
Calendula - Goudsbloem						Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z					
Californische Papaver					Z	Z	Z	Z															
Chili habanero orange					Z	Z				P	P												
Chinese Aster							Z	Z	Z	Z	Z	Z											
Citroenmelisse						Z	Z	Z	Z														
Cosmea - gemengd								Z	Z	Z													
Cosmos sensatie - cosmos bipinnatus						Z		Z	Z/P	Z/P							Z	Z					
Cosmos wit - purity white						Z		Z	Z/P	Z/P							Z	Z					
Courgette								Z	Z	Z/P	Z/P	Z/P	Z/P	P									
Daslook						Z	Z	Z										Z	Z	Z			
Dille							Z	Z	Z	Z	Z	Z	Z	Z	Z	Z							
Duifkruid - Scabiosa								Z	Z	P	P												
Duizendblad kleurenmix									Z	Z					P	P			Z	Z	Z	Z	
Duizendschoon - Dianthus Barbatus							Z	Z	Z	Z	Z	Z											
Echinacea					Z	Z	Z	Z															
Edamame - Chiba green									Z	Z	Z												
Edamame - Envy									Z	Z	Z												
Edamame - Green Shell									Z	Z	Z												
Edamame - Pearl									Z	Z	Z												
Erwt - Crown pea			Z	Z	Z/P	Z/P	Z	Z	Z											Z	Z		
Erwt - Douce de provence (tot 75 cm hoog)					Z	Z/P	Z	Z	Z	Z													
Erwt - Eerste vroege mei				Z	Z	Z	Z	Z															
Erwt - Eetbare Lathyrus (tot 1m hoog)					Z	Z																	
Erwt - Sugar Snap (tot 1,8m hoog)					Z	Z	Z	Z	Z	Z	Z	Z	Z										
Erwt - Suikererwt - Purple Magnolia (tot 1,8m hoog)					Z	Z	Z	Z	Z	Z	Z	Z											
Erwt - Suikererwt - Sweet Jade (tot 2,5m hoog)					Z	Z	Z	Z	Z														
Fenegriek										Z	Z	Z	Z	Z									
Gewone lamsoor					Z	Z	Z	Z	Z	Z													
Groot akkerscherm - Ammi majus					Z	Z	Z	Z	Z	Z							Z	Z					
Hazestaartje							Z	Z	Z	Z	Z	Z											
Ijslandse papaver			Z	Z	Z	Z	Z	Z															
Judaspenning											Z	Z	Z	Z	Z	Z	Z	Z					
Klimcourgette								Z	Z	Z	Z	Z	Z	Z									
Kogeldistel - Echinops Ritro										Z	Z	Z	Z										
Komkommer - Mideastpeace								Z	Z	Z	Z												
Komkommer - Salatgurke - La Diva								Z	Z	P	P												
Komkommerkruid							Z	Z	Z	Z	Z	Z											
Koolrabi				Z	Z	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	P	P	P	P								
Korenbloem					Z	Z	Z	Z															
Koriander					Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z							
Lavas					Z	Z	Z	Z	Z	Z	Z	Z											
Lavendula officinalis									P	Z/P	Z/P												
Lupine (zaadjes voorweken)					Z	Z	Z	Z															
Mais (Golden Bantam)								Z	Z	P	Z/P												
Mini meloen									Z	Z/P	P												
Oost-Indische kers					Z	Z	Z	Z	Z	Z	Z	Z											
Oost-Indische kers zalm (oppassen met verspenen)					Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z					
Paarse Komatsuna					Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z					
Paksoi						Z	Z	Z	Z	Z	Z	Z	Z	Z	Z								
Papaver - Californische - Goudpapaver - Slaapmutsje					Z	Z	Z	Z															
Papaver - Ijslandse			Z	Z	Z	Z	Z	Z					Z	Z	Z	Z							
Papaver - Klapvoor					Z	Z	Z	Z	Z	Z	Z												
Paprika Flynn					Z	Z																	
Paprika Radja										P	P												
Pastinaak					Z	Z	Z	Z	Z	Z	Z	Z	Z	Z							Z	Z	
Peterselie					Z	Z	Z	Z	Z	Z	Z	Z	Z										
Peterselie gekruld																							
Physalis						Z	Z		P	P													
Pimpernel - Sanguisorba					Z	Z	Z	Z							Z	Z	Z	Z	Z	Z			
Pompoen - Kürbis Fictor								Z	Z	Z/P	P	P											
Pompoen - Kürbis Nutterbutter									Z	Z/P	P												
Pompoen - Spaghetti-Kürbis								Z	Z	P	P												
Reukerwt					Z	Z	Z	Z	Z	Z													
Ridderspoor - Delphinium			Z	Z	Z	Z	Z	Z	Z	Z													
Rudbeckia									Z	Z													
Salade - kropsla		Z	Z	Z	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z					
Salade (Romanasalat)		Z	Z	Z	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z					
Sla - Mix babyleaf (pluksla)		Z	Z	Z	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z/P	Z					
Sla - Romeinse - Crisp mint					Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z					
Sla - Romeinse - Little gem					Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z							
Snijbiet					Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z					
Spinazie - Merlo Nero															Z	Z	Z	Z					
Spinazie - Paarse Komatsuna					Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z					
Spinazie - Winterreuzen															Z	Z	Z	Z					
Spinazie (Palco F1 Hybride)					Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z							
Spruitjes (Groningen)							Z	Z	Z	Z	Z	Z											
Strobloem							Z	Z	Z	Z	Z	Z											
Sugar snaps					Z	Z	Z	Z	Z	Z	Z	Z											
Tagetes - Patula Nana						Z	Z	Z	Z	Z	Z	Z	Z										
Tomaat					Z	Z	Z			P	P												
Tomatillo paars					Z	Z	Z			P													
Valeriaan							Z	Z	Z	Z	Z	Z											
Verbena bonariensis - Eisenkraut									Z	Z													
Winterpostelein													Z	Z	Z	Z	Z	Z					
Wortel - mini lenteworteltjes - Bambino			Z	Z	Z	Z	Z	Z															
Wortel - mix van zomerwortel					Z	Z	Z	Z															
Wortel - Parijse worteltjes - Paris Market					Z	Z	Z	Z															
Wortelpeterselie							Z	Z	Z	Z	Z	Z											
Wortels (Nantes)			Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z										
Zinnia							Z	Z	Z	Z/P	Z/P												
Zomeraster						Z	Z	Z	Z														
Zonnenbloemen - Double Sunking									Z	Z	Z	Z	Z	Z	Z								
Zonnenbloemen - Helianthus Hella Sonnenblume									Z	Z	Z	Z	Z										
Zonnenbloemen - Helianthus Sunspot - Zwergsonnenblume									Z	Z	Z	Z	Z										
Zonnenbloemen - Helianthus Valentin Sonnenblume									Z	Z	Z	Z	Z										
Zonnenbloemen - Sonnenblume							Z	Z	Z	Z	Z	Z	Z	Z	Z	Z							